"","Player","Pos","School","Ht","Wt","X40yd","X3Cone","Shuttle","YearDrafted"
"1","J.J. Arrington","RB","California","5-9",214,4.4,6.81,4.1,2005
"2","Marion Barber","RB","Minnesota","5-11",221,4.49,NA,NA,2005
"3","Cedric Benson","RB","Texas","5-10",222,4.62,NA,NA,2005
"4","DeCori Birmingham","RB","Arkansas","5-10",210,4.56,7.13,4.28,2005
"5","Nehemiah Broughton","RB","Citadel","5-11",250,4.59,7.54,4.28,2005
"6","Ronnie Brown","RB","Auburn","6-0",233,4.43,7.1,4.08,2005
"7","Maurice Clarett","RB","Ohio State","6-0",234,4.78,NA,NA,2005
"8","DeAndra Cobb","RB","Michigan State","5-10",196,4.49,7.13,4.25,2005
"9","Anthony Davis","RB","Wisconsin","5-7",200,4.5,7.39,NA,2005
"10","Ciatrick Fason","RB","Florida","6-1",207,4.58,NA,NA,2005
"11","Lionel Gates","RB","Louisville","6-0",222,4.6,7.17,4.1,2005
"12","Frank Gore","RB","Miami (FL)","5-9",217,4.58,NA,NA,2005
"13","Ryan Grant","RB","Notre Dame","6-1",215,4.43,7.08,4.12,2005
"14","Kay-Jay Harris","RB","West Virginia","6-0",241,4.56,7.2,4.1,2005
"15","Alex Haynes","RB","Central Florida","5-10",223,4.51,NA,NA,2005
"16","Noah Herron","RB","Northwestern","5-11",224,4.6,6.95,3.97,2005
"17","Cedric Houston","RB","Tennessee","5-11",225,4.61,NA,NA,2005
"18","Ray Hudson","RB","Alabama","5-10",192,4.5,NA,NA,2005
"19","Brandon Jacobs","RB","Southern Illinois","6-4",267,4.56,7.53,4.46,2005
"20","T.A. McLendon","RB","North Carolina State","5-10",235,4.71,7.34,4.19,2005
"21","Ryan Moats","RB","Louisiana Tech","5-8",210,4.46,7.22,4.1,2005
"22","Vernand Morency","RB","Oklahoma State","5-10",212,4.66,7.02,4.12,2005
"23","Alvin Pearman","RB","Virginia","5-9",208,4.63,7.06,4.08,2005
"24","Bobby Purify","RB","Colorado","6-0",210,4.67,7.22,4.13,2005
"25","Walter Reyes","RB","Syracuse","5-10",209,4.52,7.23,4.38,2005
"26","Eric Shelton","RB","Louisville","6-1",246,4.53,7.44,4.08,2005
"27","Darren Sproles","RB","Kansas State","5-6",187,4.47,6.96,3.96,2005
"28","Cadillac Williams","RB","Auburn","5-11",217,4.43,6.94,4.15,2005
"29","Joseph Addai","RB","LSU","5-11",214,4.4,7.09,4.47,2006
"30","Mike Bell","RB","Arizona","6-0",221,4.6,7.16,4.21,2006
"31","Reggie Bush","RB","USC","5-11",201,4.37,NA,NA,2006
"32","Brian Calhoun","RB","Wisconsin","5-9",201,4.57,7.05,4.2,2006
"33","P.J. Daniels","RB","Georgia Tech","5-10",214,4.64,7.13,4.4,2006
"34","Quinton Ganther","RB","Utah","5-9",218,4.5,7.19,NA,2006
"35","Ryan Gilbert","RB","Houston","5-10",228,4.6,NA,NA,2006
"36","Marques Hagans","RB","Virginia","5-9",202,4.67,7.03,4.38,2006
"37","Andre Hall","RB","South Florida","5-8",208,4.4,7.38,NA,2006
"38","Jerome Harrison","RB","Washington State","5-9",201,4.47,6.77,4.07,2006
"39","Taurean Henderson","RB","Texas Tech","5-9",204,4.62,7.01,4.4,2006
"40","Cedric Humes","RB","Virginia Tech","6-1",227,4.62,7.07,4.22,2006
"41","Maurice Jones-Drew","RB","UCLA","5-7",207,4.39,7.08,4.38,2006
"42","Wali Lundy","RB","Virginia","5-11",214,4.48,6.99,4.36,2006
"43","Laurence Maroney","RB","Minnesota","6-0",217,4.48,NA,NA,2006
"44","Wendell Mathis","RB","Fresno State","5-11",210,4.51,6.93,4.22,2006
"45","DonTrell Moore","RB","New Mexico","5-10",210,4.64,7.1,4.32,2006
"46","Jerious Norwood","RB","Mississippi State","6-0",210,4.4,6.81,4.25,2006
"47","Gerald Riggs","RB","Tennessee","5-11",232,4.62,NA,NA,2006
"48","Cory Ross","RB","Nebraska","5-6",201,4.58,NA,NA,2006
"49","Derrick Ross","RB","Tarleton State","5-10",226,4.56,7,4.35,2006
"50","Leon Washington","RB","Florida State","5-8",201,4.42,6.94,4.37,2006
"51","LenDale White","RB","USC","6-0",238,4.49,NA,NA,2006
"52","Terrence Whitehead","RB","Oregon","5-10",209,4.69,7.21,4.27,2006
"53","DeAngelo Williams","RB","Memphis","5-9",214,4.45,NA,NA,2006
"54","Lorenzo Booker","RB","Florida State","5-10",191,4.46,NA,NA,2007
"55","Ahmad Bradshaw","RB","Marshall","5-9",198,4.55,6.7,4.09,2007
"56","Eldra Buckley","RB","Tenn-Chattanooga","5-9",202,4.56,7.71,4.43,2007
"57","Michael Bush","RB","Louisville","6-1",243,4.62,NA,NA,2007
"58","Thomas Clayton","RB","Kansas State","5-10",218,4.63,NA,NA,2007
"59","Alonzo Coleman","RB","Kansas State","5-10",207,4.49,NA,NA,2007
"60","Jon Cornish","RB","Kansas","5-11",206,4.62,7.09,NA,2007
"61","Kenneth Darby","RB","Alabama","5-10",211,4.75,7.25,4.53,2007
