"","Player","Pos","School","Ht","Wt","X40yd","X3Cone","Shuttle","YearDrafted"
"1","Billy Bajema","TE","Oklahoma State","6-5",261,4.74,7.05,4.25,2005
"2","Adam Bergen","TE","Lehigh","6-4",265,4.78,7.11,4.1,2005
"3","Jerome Collins","TE","Notre Dame","6-4",267,4.71,NA,NA,2005
"4","Jonas Crafts","TE","Texas-El Paso","6-3",247,4.89,NA,NA,2005
"5","Tony Curtis","TE","Portland State","6-5",269,4.93,NA,NA,2005
"6","Joel Dreessen","TE","Colorado State","6-4",260,4.72,7.09,4.01,2005
"7","Kevin Everett","TE","Miami (FL)","6-5",241,4.72,NA,NA,2005
"8","Kelly Griffeth","TE","Fort Hays State","6-5",284,4.9,7.25,4.27,2005
"9","Alex Holmes","TE","USC","6-2",265,5.04,NA,NA,2005
"10","Tony Jackson","TE","Iowa","6-2",266,4.75,7.5,4.48,2005
"11","Matt Jones","TE","Arkansas","6-6",242,4.37,NA,NA,2005
"12","Dave Kashetta","TE","Boston Col.","6-3",247,4.87,7.34,4.34,2005
"13","Heath Miller","TE","Virginia","6-5",256,4.79,NA,NA,2005
"14","Bo Scaife","TE","Texas","6-3",249,4.75,7.21,4.12,2005
"15","Alex Smith","TE","Stanford","6-4",258,4.88,NA,NA,2005
"16","Troy Bienemann","TE","Washington State","6-5",256,4.8,NA,NA,2006
"17","Dominique Byrd","TE","USC","6-3",255,4.79,NA,NA,2006
"18","Owen Daniels","TE","Wisconsin","6-3",253,4.65,6.87,4.1,2006
"19","Vernon Davis","TE","Maryland","6-3",254,4.38,7,4.17,2006
"20","Charles Davis","TE","Purdue","6-5",263,4.87,7.53,4.37,2006
"21","Tim Day","TE","Oregon","6-3",256,4.74,7.03,4.2,2006
"22","Anthony Fasano","TE","Notre Dame","6-4",259,4.72,6.94,4.34,2006
"23","Daniel Fells","TE","California-Davis","6-3",259,4.95,7.27,4.46,2006
"24","Matt Henshaw","TE","Florida State","6-4",248,4.73,7.44,4.44,2006
"25","Jeff King","TE","Virginia Tech","6-5",245,4.83,6.99,4.09,2006
"26","Joe Klopfenstein","TE","Colorado","6-6",255,4.63,7.39,4.21,2006
"27","Marcedes Lewis","TE","UCLA","6-6",261,4.8,7.24,4.82,2006
"28","Tim Massaquoi","TE","Michigan","6-3",259,4.85,NA,NA,2006
"29","Jason Pociask","TE","Wisconsin","6-3",266,4.84,7.31,4.3,2006
"30","Leonard Pope","TE","Georgia","6-8",258,4.62,7.47,4.67,2006
"31","Tony Scheffler","TE","West. Michigan","6-5",254,4.54,6.81,4.01,2006
"32","Quinn Sypniewski","TE","Colorado","6-6",268,4.77,7.09,4.52,2006
"33","David Thomas","TE","Texas","6-3",252,4.67,7.05,4.34,2006
"34","Cooper Wallace","TE","Auburn","6-4",261,4.78,7.29,4.21,2006
"35","T.J. Williams","TE","North Carolina State","6-2",269,4.72,7.49,4.54,2006
"36","Michael Allan","TE","Whitworth","6-6",255,4.71,7.31,4.52,2007
"37","Kevin Boss","TE","Western Oregon","6-6",252,4.78,6.96,4.41,2007
"38","Scott Chandler","TE","Iowa","6-7",270,4.78,7.26,4.32,2007
"39","Daniel Coats","TE","BYU","6-3",257,4.94,7.07,4.43,2007
"40","Jonny Harline","TE","BYU","6-4",248,4.84,7.05,4.68,2007
