"","Player","Pos","School","Ht","Wt","X40yd","X3Cone","Shuttle","YearDrafted"
"1","Mark Bradley","WR","Oklahoma","6-1",201,4.37,6.96,3.98,2005
"2","Craig Bragg","WR","UCLA","6-1",196,4.46,NA,NA,2005
"3","Reggie Brown","WR","Georgia","6-2",196,4.45,6.99,3.94,2005
"4","Mark Clayton","WR","Oklahoma","5-10",193,4.41,6.95,4.07,2005
"5","Airese Currie","WR","Clemson","5-10",186,4.49,7.05,4.07,2005
"6","Josh Davis","WR","Marshall","6-0",191,4.52,7.19,4.22,2005
"7","Braylon Edwards","WR","Michigan","6-3",211,4.45,NA,NA,2005
"8","Charles Frederick","WR","Washington","5-11",194,4.78,7.39,4.25,2005
"9","Fred Gibson","WR","Georgia","6-4",196,4.55,7.03,4.1,2005
"10","Howard Gilmore","WR","Norfolk State","6-0",194,4.71,7.56,4.44,2005
"11","Reggie Harrell","WR","TCU","6-3",214,4.58,7.42,4.11,2005
"12","Chris Henry","WR","West Virginia","6-4",197,4.5,NA,NA,2005
"13","Efrem Hill","WR","Samford","6-0",179,4.58,7.42,4.07,2005
"14","Vincent Jackson","WR","Northern Colorado","6-5",241,4.46,NA,NA,2005
"15","Brandon Jones","WR","Oklahoma","6-1",210,4.42,7.03,4.08,2005
"16","Chase Lyman","WR","California","6-3",217,4.5,NA,NA,2005
"17","Tony Madison","WR","Kansas State","6-1",213,4.52,7.13,4.3,2005
"18","Tommy Manus","WR","South Florida","6-4",222,4.55,7.2,4.34,2005
"19","Rasheed Marshall","WR","West Virginia","6-0",185,4.51,6.81,3.95,2005
"20","Jerome Mathis","WR","Kansas State","5-11",181,4.28,NA,NA,2005
"21","Leron McCoy","WR","Indiana (PA)","6-1",211,4.4,7.19,4.21,2005
"22","Lance Moore","WR","Toledo","5-9",177,4.52,NA,NA,2005
"23","Terrence Murphy","WR","Texas A&M","6-1",202,4.39,NA,NA,2005
"24","Chad Owens","WR","Hawaii","5-7",183,4.62,6.7,3.94,2005
"25","Roscoe Parrish","WR","Miami (FL)","5-10",168,4.37,NA,NA,2005
"26","Tab Perry","WR","UCLA","6-2",229,4.46,7,NA,2005
"27","Jamaica Rector","WR","Northwest Missouri State","5-10",186,4.47,6.78,4.13,2005
"28","Dante' Ridgeway","WR","Ball State","5-11",212,4.57,7.25,4.39,2005
"29","Courtney Roby","WR","Indiana","6-0",189,4.41,6.6,3.94,2005
"30","J.R. Russell","WR","Louisville","6-3",206,4.56,NA,NA,2005
"31","Steve Savoy","WR","Utah","5-11",192,4.62,NA,NA,2005
